[DEBUG] 2023-02-26 01:25:28.727 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2023-02-26 01:25:28.729 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2023-02-26 01:25:28.730 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2023-02-26 01:25:28.731 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2023-02-26 01:25:28.731 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2023-02-26 01:25:28.732 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2023-02-26 01:25:28.732 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2023-02-26 01:25:28.734 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-table] -> [org.hibernate.id.enhanced.TableGenerator]
[INFO ] 2023-02-26 01:25:28.739 [main] C3P0ConnectionProvider - HHH010002: C3P0 using driver: com.mysql.cj.jdbc.Driver at URL: jdbc:mysql://localhost:3306/test_rvu_tracker
[INFO ] 2023-02-26 01:25:28.739 [main] C3P0ConnectionProvider - HHH10001001: Connection properties: {password=****, user=root}
[INFO ] 2023-02-26 01:25:28.739 [main] C3P0ConnectionProvider - HHH10001003: Autocommit mode: false
[INFO ] 2023-02-26 01:25:28.904 [main] C3P0ConnectionProvider - HHH10001007: JDBC isolation level: <unknown>
[DEBUG] 2023-02-26 01:25:29.610 [main] JdbcEnvironmentInitiator - Database ->
       name : MySQL
    version : 8.0.31
      major : 8
      minor : 0
[DEBUG] 2023-02-26 01:25:29.610 [main] JdbcEnvironmentInitiator - Driver ->
       name : MySQL Connector/J
    version : mysql-connector-java-8.0.16 (Revision: 34cbc6bc61f72836e26327537a432d6db7c77de6)
      major : 8
      minor : 0
[DEBUG] 2023-02-26 01:25:29.610 [main] JdbcEnvironmentInitiator - JDBC version : 4.2
[INFO ] 2023-02-26 01:25:29.646 [main] Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
[DEBUG] 2023-02-26 01:25:29.670 [main] IdentifierHelperBuilder - JDBC driver metadata reported database stores quoted identifiers in more than one case
[DEBUG] 2023-02-26 01:25:29.724 [main] IdentifierHelperBuilder - IdentifierCaseStrategy for both quoted and unquoted identifiers was set to the same strategy [MIXED]; that will likely lead to problems in schema update and validation if using quoted identifiers
[DEBUG] 2023-02-26 01:25:29.772 [main] Namespace - Created database namespace [logicalName=Name{catalog=null, schema=null}, physicalName=Name{catalog=null, schema=null}]
[DEBUG] 2023-02-26 01:25:29.776 [main] TypeConfiguration$Scope - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@94e51e8] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@5de6cf3a]
[DEBUG] 2023-02-26 01:25:29.878 [main] AnnotationBinder - Binding entity from annotated class: com.rvutracker.entity.User
[DEBUG] 2023-02-26 01:25:29.913 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2023-02-26 01:25:29.921 [main] EntityBinder - Import with entity name User
[DEBUG] 2023-02-26 01:25:29.924 [main] EntityBinder - Bind entity com.rvutracker.entity.User on table user
[DEBUG] 2023-02-26 01:25:29.957 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.961 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2023-02-26 01:25:29.964 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [com.rvutracker.entity.User:id]
[DEBUG] 2023-02-26 01:25:29.967 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2023-02-26 01:25:29.969 [main] PropertyBinder - Building property id
[DEBUG] 2023-02-26 01:25:29.973 [main] BinderHelper - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, org.hibernate.id.enhanced.SequenceStyleGenerator, native, ...)
[DEBUG] 2023-02-26 01:25:29.974 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(user), mappingColumn=email, insertable=true, updatable=true, unique=false}
[DEBUG] 2023-02-26 01:25:29.975 [main] PropertyBinder - MetadataSourceProcessor property email with lazy=false
